drzava,st_dresa,priimek,pozicija,starost,datum_rojstva,visina_cm,tocke_skupaj,tocke_povprecje,tocke_napad,ucinkovitost_napad,napad_povprecje,tocke_blok,uspesnost_blok,blok_povprecje,tocke_servis,uspesnost_servis,servis_povprecje
Srbija,26,Kirov,Srednja blokerka,20,16/08/2005,189cm,47,4.27,30,44.12%,2.73,15,30.00%,1.36,2,4.17%,0.18
Tajska,2,P.Piyanut,Libero,36,10/11/1989,171cm,1,0.08,0,-,-,0,-,-,1,16.67%,0.08
Tajska,3,G.Pornpun,Podajalka,33,05/05/1993,173cm,14,1.17,10,45.45%,0.83,1,2.56%,0.08,3,2.68%,0.25
Tajska,4,K.Kanyarat,Srednja blokerka,23,14/10/2002,185cm,3,0.75,3,60.00%,0.75,0,0.00%,0.00,0,0.00%,0.00
Tajska,5,N.Thatdao,Srednja blokerka,32,03/02/1994,186cm,129,10.75,100,46.51%,8.33,23,14.02%,1.92,6,4.11%,0.50
Tajska,6,S.Warisara,Sprejemalka,20,31/10/2005,173cm,54,4.50,53,33.97%,4.42,1,6.25%,0.08,0,0.00%,0.00
Tajska,7,P.Papatchaya,Korektorica,20,24/01/2006,176cm,13,1.18,13,41.94%,1.18,0,0.00%,0.00,0,0.00%,0.00
Tajska,9,K.Kalyarat,Libero,21,08/06/2005,168cm,0,0.00,0,-,-,0,-,-,0,-,-
Tajska,11,J.Sasipaporn,Sprejemalka,29,10/06/1997,178cm,151,12.58,136,36.76%,11.33,8,15.38%,0.67,7,5.19%,0.58
Tajska,15,J.Natthanicha,Podajalka,28,21/05/1998,172cm,5,0.42,1,11.11%,0.08,0,0.00%,0.00,4,5.26%,0.33
Tajska,16,K.Pimpichaya,Korektorica,28,16/06/1998,180cm,192,16.00,174,39.37%,14.50,6,6.59%,0.50,12,7.64%,1.00
Tajska,18,K.Ajcharaporn,Sprejemalka,31,18/06/1995,180cm,78,6.50,70,32.71%,5.83,5,19.23%,0.42,3,3.53%,0.25
Tajska,28,A.Serah,Podajalka,17,04/12/2008,180cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Tajska,30,N.Jidapa,Sprejemalka,24,22/02/2002,172cm,0,0.00,0,-,-,0,-,-,0,-,-
Tajska,41,K.Kaewkalaya,Srednja blokerka,31,07/08/1994,179cm,55,4.58,43,41.35%,3.58,8,8.16%,0.67,4,3.81%,0.33
Tajska,20,P.Supawadee,Korektorica,19,20/07/2007,185cm,0,0.00,0,0.00%,0.00,0,-,-,0,-,-
Tajska,29,T.Wimonrat,Srednja blokerka,24,02/04/2002,180cm,10,1.25,5,22.73%,0.62,2,10.00%,0.25,3,8.33%,0.38
Tajska,10,M.Nannaphat,Korektorica,21,25/10/2004,176cm,4,0.57,4,19.05%,0.57,0,0.00%,0.00,0,0.00%,0.00
Tajska,22,S.Nirarach,Sprejemalka,19,23/11/2006,177cm,-,-,-,-,-,-,-,-,-,-,-
Turčija,1,Örge,Libero,33,26/04/1993,172cm,0,0.00,0,-,-,0,-,-,0,-,-
Turčija,3,Özbay,Podajalka,29,17/10/1996,179cm,4,0.36,1,50.00%,0.09,2,22.22%,0.18,1,5.88%,0.09
Turčija,4,Vargas,Korektorica,26,16/10/1999,194cm,293,26.64,260,53.28%,23.64,11,12.79%,1.00,22,11.70%,2.00
Turčija,6,S. Sahin,Sprejemalka,27,05/11/1998,183cm,46,3.29,38,32.48%,2.71,4,11.11%,0.29,4,3.31%,0.29
Turčija,7,Baladın,Sprejemalka,28,01/09/1997,187cm,84,7.64,75,41.67%,6.82,5,12.82%,0.45,4,3.60%,0.36
Turčija,8,Kisal,Srednja blokerka,32,08/11/1993,195cm,100,9.09,69,45.70%,6.27,23,17.97%,2.09,8,6.72%,0.73
Turčija,10,Yatgın,Libero,26,01/10/1999,170cm,0,0.00,0,-,-,0,-,-,0,-,-
Turčija,12,E. Şahin,Podajalka,25,19/01/2001,184cm,34,3.09,14,45.16%,1.27,16,20.78%,1.45,4,2.80%,0.36
Turčija,15,Uyanık,Srednja blokerka,25,25/06/2001,194cm,39,2.60,22,38.60%,1.47,13,18.84%,0.87,4,8.51%,0.27
