drzava,st_dresa,priimek,pozicija,starost,datum_rojstva,visina_cm,tocke_skupaj,tocke_povprecje,tocke_napad,ucinkovitost_napad,napad_povprecje,tocke_blok,uspesnost_blok,blok_povprecje,tocke_servis,uspesnost_servis,servis_povprecje
Slovenija,8,Bračko,Sprejemalec,22,21/04/2004,194cm,40,3.08,30,41.67%,2.31,2,18.18%,0.15,8,10.67%,0.62
Slovenija,10,Štalekar,Srednji bloker,30,03/05/1996,214cm,46,3.54,35,68.63%,2.69,11,13.92%,0.85,0,0.00%,0.00
Slovenija,12,Okroglič,Libero,22,09/06/2004,185cm,0,0.00,0,-,-,0,0.00%,0.00,0,0.00%,0.00
Slovenija,17,Urnaut,Sprejemalec,37,03/09/1988,200cm,45,5.00,42,36.84%,4.67,1,4.35%,0.11,2,2.86%,0.22
Slovenija,19,Možič,Sprejemalec,24,17/01/2002,200cm,191,14.69,156,59.09%,12.00,26,28.26%,2.00,9,6.77%,0.69
Slovenija,20,Mujanović,Korektor,21,14/10/2004,207cm,247,19.00,211,50.24%,16.23,18,20.69%,1.38,18,11.32%,1.38
Slovenija,22,Kržič,Srednji bloker,23,26/06/2003,202cm,12,1.00,7,87.50%,0.58,4,16.00%,0.33,1,3.70%,0.08
Slovenija,23,J. Kržič,Srednji bloker,20,12/10/2005,200cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Slovenija,24,Najdič,Podajalec,20,05/05/2006,198cm,4,0.31,1,50.00%,0.08,1,7.14%,0.08,2,6.90%,0.15
Slovenija,25,Šen,Sprejemalec,24,10/06/2002,192cm,37,2.85,27,43.55%,2.08,6,19.35%,0.46,4,6.90%,0.31
Srbija,3,Negić,Libero,26,17/01/2000,180cm,0,0.00,0,-,-,0,-,-,0,-,-
Srbija,4,Marinović,Sprejemalec,28,07/06/1998,197cm,131,11.91,106,39.55%,9.64,17,24.29%,1.55,8,6.15%,0.73
Srbija,6,Ristić,Libero,22,24/10/2003,190cm,0,0.00,0,-,-,0,-,-,0,-,-
Srbija,9,Jovović,Podajalec,34,13/02/1992,197cm,0,0.00,0,-,-,0,0.00%,0.00,0,0.00%,0.00
Srbija,10,Kujundžić,Sprejemalec,29,19/06/1997,196cm,3,0.75,3,30.00%,0.75,0,0.00%,0.00,0,0.00%,0.00
Srbija,11,Batak,Podajalec,26,18/01/2000,198cm,15,1.25,7,43.75%,0.58,7,8.97%,0.58,1,0.86%,0.08
Srbija,12,Perić,Sprejemalec,27,07/08/1998,207cm,83,6.92,71,34.80%,5.92,10,24.39%,0.83,2,2.13%,0.17
Srbija,15,Mašulović N.,Srednji bloker,30,05/10/1995,205cm,21,1.75,11,45.83%,0.92,7,17.50%,0.58,3,4.92%,0.25
Srbija,19,Stefanović,Srednji bloker,27,22/11/1998,200cm,46,3.83,34,62.96%,2.83,9,13.24%,0.75,3,3.00%,0.25
Srbija,20,Brborić,Sprejemalec,20,22/07/2006,195cm,19,1.58,15,42.86%,1.25,4,30.77%,0.33,0,0.00%,0.00
Srbija,22,Mašulović V.,Sprejemalec,23,02/10/2002,198cm,143,11.92,118,44.53%,9.83,15,23.08%,1.25,10,8.06%,0.83
Srbija,24,Kulpinac,Sprejemalec,18,04/08/2007,200cm,77,7.00,65,32.83%,5.91,7,14.89%,0.64,5,5.05%,0.45
Srbija,25,Kokeza,Srednji bloker,22,15/04/2004,205cm,8,0.67,6,75.00%,0.50,2,25.00%,0.17,0,0.00%,0.00
Srbija,29,Nedeljković,Srednji bloker,28,27/10/1997,205cm,100,8.33,70,58.82%,5.83,23,17.97%,1.92,7,4.64%,0.58
Srbija,21,Todorović,Podajalec,28,23/04/1998,190cm,2,0.25,1,100%,0.12,1,20.00%,0.12,0,0.00%,0.00
Srbija,34,Ubiparip,Sprejemalec,26,20/12/1999,195cm,0,0.00,0,0.00%,0.00,0,0.00%,0.00,0,-,-
Srbija,31,Šoša,Korektor,22,30/07/2003,203cm,8,1.33,7,29.17%,1.17,1,33.33%,0.17,0,0.00%,0.00
Srbija,35,Rudić,Srednji bloker,27,17/02/1999,201cm,-,-,-,-,-,-,-,-,-,-,-
